name	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Syracuse	17	17	17	17	10	17	17	17	17	17	7	17	17	17	17	7	6	8	4	8	8	3
NC State	4	10	5	4	17	17	10	5	5	4	17	17	9	17	17	17	5	17	17	6	4	3
Maryland	17	17	17	8	17	17	12	7	2	2	1	1	17	4	2	4	4	1	2	3	5	3
Iowa St	4	4	3	2	3	17	17	7	17	6	7	4	4	7	10	5	7	10	17	9	17	3
Miami FL	11	17	17	17	17	11	5	17	17	17	17	17	17	3	3	8	17	11	5	4	8	4
South Carolina	17	17	17	17	3	5	17	17	17	17	17	17	17	17	5	4	1	1	1	1	2	4
Oregon St	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9	3	2	2	6	4
Texas A&M	17	17	17	17	17	17	17	17	6	4	2	2	2	2	3	3	3	6	4	5	4	4
Marquette	10	8	7	17	17	17	9	17	17	6	17	17	17	8	17	17	17	17	17	5	8	5
Arizona St	17	17	17	11	9	17	17	5	4	3	6	6	17	7	17	17	9	3	2	8	7	5
Gonzaga	17	17	17	17	17	17	17	17	17	12	17	12	7	11	11	12	6	11	17	11	13	5
Florida St	17	17	17	7	17	17	17	6	6	10	11	3	3	3	17	8	10	2	5	3	3	5
Kentucky	17	6	17	17	17	17	17	17	5	17	17	17	4	4	2	2	3	2	3	4	17	6
S Dakota St	17	17	17	17	17	17	17	17	17	17	17	7	14	15	13	13	17	14	12	17	8	6
UCLA	7	3	10	17	17	17	10	17	5	17	17	17	8	3	17	3	17	17	3	4	3	6
DePaul	17	17	17	17	17	9	9	5	4	10	10	7	11	3	7	10	7	9	6	7	5	6
Missouri	17	17	17	10	17	17	11	17	10	17	17	17	17	17	17	17	17	17	10	6	5	7
Rutgers	5	3	2	4	17	4	7	3	3	4	2	7	9	7	6	17	17	8	17	17	17	7
BYU	17	17	12	17	11	11	17	17	7	11	17	17	17	17	10	17	12	14	7	17	17	7
Texas	17	12	7	8	4	2	1	3	17	17	8	6	6	9	9	17	5	5	2	3	2	7
California	17	17	17	17	17	17	17	17	10	8	3	4	17	17	8	2	7	4	17	9	7	8
C Michigan	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	11	17	17	17	17	11	8
South Dakota	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	15	17	17	17	17	8
Michigan	10	17	8	8	17	17	17	17	17	17	17	17	17	17	11	8	17	17	17	17	7	8
Michigan St	17	17	17	17	17	8	8	1	4	5	17	9	5	4	10	5	5	17	4	9	17	9
Clemson	6	2	9	5	11	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	9
Kansas St	17	17	17	17	3	3	2	4	17	17	5	5	17	8	8	17	17	17	9	7	17	9
North Carolina	2	4	5	17	4	3	4	1	1	1	1	3	10	5	17	3	4	4	17	17	17	9
