country,name,lat,lon,notes
Kuwait,Udairi Training Range,29.696292,47.42,
Kenya,Lamu/Manda Bay,-2.280262,40.891285,"At Lamu in Manda Bay, Navy has spent $10 million or more on a small base."
Antarctica,McMurdo Station ,-77.85,166.666667,"McMurdo Station hosts military personnel and contractors, as well as scientists. "
Aruba,Aruba,12.52111,-69.968338,Small cooperative security location in Aruba (Netherlands) hosts up to 8 aircraft
Australia,"Kojarena, near Geraldton MUOS, ECHELON Intel and Communications Site",-28.695,114.842222,
Australia,?,-25.274398,133.77514,
Australia,RAAF Base Tindal AB,-14.521111,132.377778,
Bahrain,?,25.918333,50.590556,
Bahrain,?,25.918333,50.590556,
Bahrain,?,25.918333,50.590556,
Belgium,"Mons	Belgium",50.454241,3.956659,
Belgium,Zutendaal,50.933333,5.566667,
Botswana,Gabrone,-24.550081,25.927415,
Bulgaria,Aitos (Aytos) Storage Facility,42.711389,27.232778,"Aitos Storage Facility, up to 2,500 U.S. troops are allowed in Bulgaria under 2006 agreement. "
Bulgaria,Bezmer Air Base ,42.454722,26.352222,"Bezmer Air Base, tens of millions of dollars have gone into bases in Bulgaria since 2006. "
Bulgaria,Graf Ignatievo Air Base,42.290278,24.713889,"Graf Ignatievo Air Base, U.S. forces have occupied up to 4 joint-use bases since 2006 agreement. "
Burkina Faso,Ouagadougou International Airport,12.353056,-1.512222,surveillance
Burundi,Bujumbura (?),-3.383333,29.366667,Bujumbura? Drone training base?
Canada,?,56.130366,-106.34677,"Much larger presence during Cold War, military still controls at least 185 acres in Newfoundland. "
Central African Rep.,Bangui,4.366667,18.583333,"Bangui, a special operations outpost.  "
Central African Rep.,Djema,6.05,25.316667,"Djema, a special operations outpost. "
Chad,N'Djamena,12.139602,15.040121,"N'Djamena, 1 of around 12 air bases in Africa, used for surveillance flights. "
Colombia,Palanquero AB/Cpt German Olano Moreno AB,5.483611,-74.657222,"One of several Colombian bases from which U.S. military personnel, contractors have operated. "
Colombia,Tolemaida AB,4.244722,-74.649722,heliport
Colombia,Larandia,1.478889,-75.486667,heliport
Colombia,Bahia de Malaga,4.1,-77.35,
Costa Rica,?,9.933333,-84.083333,
Denmark,"Karap	Denmark",56.297914,9.099389,"Air Force at Karup Air Base and another location in addition to Denmark-controlled Thule, Greenland. "
Denmark,?,56.297914,9.099389,
Djibouti,Chabelley,11.489167,43.0775,"2nd site in addition to main base in Djibouti, Camp Lemonnier. "
Egypt,"Cairo	Egypt",30.04442,31.235712,"Created in Cairo in 1946, 1 of 3 overseas Navy infectious disease research/surveillance sites; satellite locations in Egypt, Ghana. "
Egypt,Egypt,26.820553,30.802498,"13 buildings with 27,000 square feet of space at an unknown location. "
Ethiopia,Dire Dawa,9.6,41.866667,"Camp Gilbert, a navy base with a small gym and Facebook presence. "
Georgia,"Krtsanisi Training Centre, nr. Tblisi",41.716667,44.783333,Marines have had presence at Krtsanisi Training Centre since 2009 as part of Georgia Deployment Program. 
Greece,Greece,39.074208,21.824312,
Greece,"Marathi Pier Area, Chania",35.503625,24.173608,
Honduras,Mocoron Tropics Region Testing Center,15.039154,-84.275469,
Hong Kong (China),,22.298513,113.932679,Small Navy ship support office for visiting U.S. vessels is the only base in China.
Hungary,"Papa AB, Papa",47.362976,17.501107,"Air Force runs Papa Air Base, a multinational logistics hub. "
Iraq,"Al Asad AB, Anbar",33.789367,42.444692,2 lily pads likely both have more than 200 troops but have been described as such by US officials
Iraq,"Al Taqqadum, Eastern Anbar",33.33911,43.598341,450 troops sent 6/15
Ireland,Shannon Airport,52.701944,-8.924722,Shannon Airport has been de facto lily pad with key logistical role transporting U.S. forces to war zones. 
Israel,Dimona Radar Base,31.066667,35.033333,
Israel,"Sdot Micha (aka Tal Shahar), Beit Shemesh",31.738611,34.919444,
Israel,Haifa (port facils for 6th fleet),32.816667,34.983333,Haifa has port facilities for Navy's Sixth Fleet; Dimona radar station in Negev; multiple secret prepositioning facilities suspected. 
Israel,"Site 51, IS [loc. Is random in Negev]",30.77243,34.977783,prepo
Israel,"Site 53, IS [loc. Is random in Negev]",30.77896,35.129283,prepo
Italy,Ghedi Air Base,45.432222,10.267778,
Jordan,outside Amman,31.97966,36.005262,"Troops here for years; around 1,000-plus F-16 fighter jets operating from base near Iraqi border."
Jordan,near Iraqi border,,,Other secret locations for training rebels and other uses?
Kenya,Garissa,-0.023559,37.906193,"Lily pad in Garissa, town where al-Shabab killed some 150 university students. (Geocode slightly off.)"
Liberia,Monrovia and surrounding,6.292412,-10.756391,Approximately 100 troops remain based at old U.S. embassy in Monrovia despite Ebola epidemic's end. 
Mauritania,Nuakchott (Air Force),18.100869,-15.95152,Military has used lily pad to conduct periodic surveillance operations of Tuareg rebels in Mali.
Netherlands,"Coevorden, NL",52.666667,6.75,prepo
