country,name,lat,lon,notes
Argentina,Chaco,-27.451389,-58.986667,"Humanitarian relief center"
Belize,Hunting Caye,16.146,-88.281,Counternarcotics 
Belize,Hattieville,17.45,-88.383333,
Belize,Ladyville,17.556667,-88.288889,
Belize,Big Creek FOS,16.514228,-88.404336,Counternarcotics
Belize,San Pedro Caye,17.921389,-87.961111,Counternarcotics
Belize,Belize City,17.504722,-88.186667,Counternarcotics Boat Mx Facility
Belize,Ambergris Caye,18.013947,-87.931039,Counternarcotics
Belize,OPS Price Barracks,17.543166,-88.299174,Counternarcotics
Brazil,Naval Support Detachment Sao Paulo,-23.55,-46.633333,Small Marine Corps support detachment in Sao Paulo. [unclear if just marines as in embassies--Embassy invitation is only piece of evidence naming detachment] 
Chile,"Fuerte Aguayo NB, Concón",-32.947314,-71.451656,
Colombia,Tres Esquinas AB,0.745833,-75.233889,runway
Costa Rica,Caldera,9.912169,-84.713904,
Costa Rica,Liberia,10.633333,-85.433333,Counternarcotics 
Costa Rica,Colorado,10.692328,-83.720075,Counternarcotics CG Stn.
Costa Rica,Flamingo,10.433803,-85.792269,GPOI
Dominican Republic,Saona Island,18.155556,-68.699444,
Ecuador,"Lita, Carchi",0.941735,-78.552956,
El Salvador,Miraflores,13.423247,-88.085408,
El Salvador,"CEOPAZ Base, Lourdes, Colon",13.716667,-89.366667,GPOI base
El Salvador,La Union,13.336944,-87.843889,Boat Maint. Fac. 
El Salvador,Cuscatlan,13.673056,-89.240556,Counternarcotics TF Ops ctr
Ethiopia,Arba Minch,6.039722,37.590278,Part of civilian airport in Arba Minch has become a base flying armed Reaper drones. 
Guatamala,Puerto San Jose,13.920235,-90.810797,Counternarcotics
Guatamala,Poptun,16.327633,-89.408154,
Guatamala,Champerico,14.293932,-91.913381,
Guatamala,Coban,15.47134,-90.404305,GPOI
Guatamala,Santa Ana de Berlin,14.7,-91.8833,Counternarcotics
Guatamala,Las Mantanitas,13.855521,-90.386549,Counternarcotics Ops Ctr/barracks
Guatamala,Tecun Uman,14.673286,-92.132206,Counternarcotics
Guatamala,Puerto Barrios,15.719062,-88.601189,Counternarcotics Boat fac.
Honduras,Mocoron,15.038947,-84.277315,
Honduras,Guanaja,16.443976,-85.902367,
Honduras,Puerto Castilla,16.010554,-85.95134,
Honduras,La Venta,13.795229,-87.28952,
Honduras,El Aguacate,13.950329,-87.132217,
Honduras,Puerto Lempira,15.267511,-83.771347,
Honduras,La Brea,15.793265,-85.964799,
Jordan,King Abdullah Sp Ops Trng Ctr Amman,32.032,35.975,
Nicaragua,El Bluff,12,-83.683333,Counternarcotics
Nicaragua,Corn Island,12.166667,-83.033333,
Nicaragua,Corinto,12.483333,-87.183333,Counternarcotics
Panama,Summit,9.0461965,-79.512991,
Panama,Puerto Obaldia,8.6883097,-77.5126038,
Panama,Puerto Pina,7.5832701,-78.1796112,Counternarcotics pier facilities
Panama,Isla Grande,9.5930004,-79.5547028,
Panama,Punta Coco,9.3000002,-82.2667007,Counternarcotics
Panama,La Palma,8.407359,-78.141503,Counternarcotics
Peru,Tarapoto,-6.496591,-76.37249,
Peru,Puno,-15.84826,-70.019337,
Peru,"Cecopaz, Ancon",-12.063471,-76.999831,GPOI 
Uruguay,"14th Battalion, Toledo",-34.740542,-56.096084,GPOI
